1000	149	333	
2000	96	307	
3000	95	525	
4000	239	467	
5000	154	460	
6000	101	642	
7000	184	838	
8000	152	1062	
9000	196	1276	
10000	150	1137	
11000	485	1420	
12000	201	1985	
13000	238	3149	
14000	241	2366	
15000	269	2867	
16000	236	2807	
17000	261	3619	
18000	346	2587	
19000	267	2915	
20000	156	3013	
21000	149	3715	
22000	364	3690	
23000	511	3917	
24000	247	4619	
25000	232	4568	
26000	334	4496	
27000	220	4917	
28000	378	5166	
29000	235	5388	
30000	321	5868	
31000	248	6292	
32000	295	7388	
33000	260	7445	
34000	386	10798	
35000	463	8763	
36000	576	8759	
37000	277	10619	
38000	444	12234	
39000	496	10472	
40000	385	9943	
41000	291	9684	
42000	346	10682	
43000	385	10842	
44000	502	10583	
45000	412	11865	
46000	372	12649	
47000	216	11689	
48000	253	11895	
49000	494	12287	
50000	305	13866	
51000	295	12774	
52000	254	14776	
53000	254	13799	
54000	304	13946	
55000	328	15015	
56000	344	20628	
57000	314	17029	
58000	734	18407	
59000	402	15807	
60000	608	15528	
61000	324	16713	
62000	340	17866	
63000	379	18032	
64000	464	17833	
65000	723	18123	
66000	512	19449	
67000	652	18652	
68000	279	19409	
69000	541	19900	
70000	493	21401	
71000	545	22286	
72000	548	21771	
73000	607	27027	
74000	371	23067	
75000	344	23183	
76000	421	36443	
77000	482	26389	
78000	614	25362	
79000	361	24786	
80000	398	24237	
81000	786	24939	
82000	390	42185	
83000	362	26525	
84000	547	25577	
85000	388	34736	
86000	447	27318	
87000	864	28545	
88000	1087	39515	
89000	687	30689	
90000	605	38338	
91000	384	29481	
92000	674	30249	
93000	519	29968	
94000	631	30940	
95000	655	31005	
96000	858	31726	
97000	689	38908	
98000	718	34019	
99000	600	32792	
100000	519	33825	
